id,date,closing_price,circulating_supply,market_cap,market_cap_rank,total_volume_day
binancecoin,2024-07-21,593.76,145887575.79,91357106145.40707,5,612596079.2453587
binancecoin,2024-07-22,601.82,145887575.79,92565473859.78108,5,888499706.291106
binancecoin,2024-07-23,589.29,145887575.79,90711577823.5121,5,1076044016.0684297
binancecoin,2024-07-24,582.45,145887575.79,89637632645.52553,5,898212596.9295814
binancecoin,2024-07-25,574.41,145887575.79,88376610702.22978,5,680183858.5534694
binancecoin,2024-07-26,570.93,145887575.79,87881569567.94095,5,1131076443.6688194
binancecoin,2024-07-27,581.07,145887575.79,89386228930.64784,5,708560781.7404197
binancecoin,2024-07-28,582.16,145887575.79,89569383275.49492,5,814108946.207702
binancecoin,2024-07-29,584.42,145887575.79,89894878401.64874,5,456744572.360746
binancecoin,2024-07-30,574.72,145887575.79,83786153369.62154,5,894893853.6873201
binancecoin,2024-07-31,585.82,145887575.79,85470855219.68504,5,811283570.7593459
binancecoin,2024-08-01,576.72,145887575.79,84116308113.30072,5,819116546.4664685
binancecoin,2024-08-02,575.4,145887575.79,83943056335.13995,5,1103476839.0569408
binancecoin,2024-08-03,542.95,145887575.79,79207573785.73466,5,1190046276.7072885
binancecoin,2024-08-04,529.82,145887575.79,77275298116.98772,5,920058736.0484016
binancecoin,2024-08-05,495.96,145887575.79,72455031845.59312,5,1204020187.4041965
binancecoin,2024-08-06,464.92,145887575.79,67825646616.054695,5,3688148819.095155
binancecoin,2024-08-07,483.58,145887575.79,70529736005.98248,5,1608444664.859629
binancecoin,2024-08-08,474.92,145887575.79,69405610033.30518,5,1172923833.530331
binancecoin,2024-08-09,517.02,145887575.79,75379973055.30574,5,964414902.9202516
binancecoin,2024-08-10,508.51,145887575.79,74121729931.63289,5,588500103.9347321
binancecoin,2024-08-11,523.41,145887575.79,76361242414.22313,5,537804503.7654083
binancecoin,2024-08-12,503.47,145887575.79,73430101810.45255,5,797141781.6084327
